record_type,family_id,position_key,character_id,character_name,costume_id,pose_id,expression_id,body_file,mask_file,auxiliary_files,eye_file,mouth_file,canvas_width,canvas_height,body_x,body_y,body_width,body_height,mask_x,mask_y,mask_width,mask_height,eye_x,eye_y,eye_width,eye_height,mouth_x,mouth_y,mouth_width,mouth_height,official_eye_x,official_eye_y,official_mouth_x,official_mouth_y,eye_atlas_width,eye_atlas_height,mouth_atlas_width,mouth_atlas_height,frame_count,eye_coord_method,mouth_coord_method,eye_edge_mse,mouth_edge_mse,official_eye_flag,official_mouth_flag,official_face_enabled,coordinate_status,coordinate_source,texture_root
atlas_pair,000_01_01,000_01,000,梨斗,01,01,a,Texture2D/000_01_01_a #4698.png,Texture2D/000_01_01_a #4729.png,Texture2D/000_01_01_a.png,Texture2D/000_01_01_a_eye.png,Texture2D/000_01_01_a_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,357.327221,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_01,000_01,000,梨斗,01,01,b,Texture2D/000_01_01_a #4698.png,Texture2D/000_01_01_a #4729.png,Texture2D/000_01_01_a.png,Texture2D/000_01_01_b_eye.png,Texture2D/000_01_01_b_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,357.327221,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_01,000_01,000,梨斗,01,01,c,Texture2D/000_01_01_a #4698.png,Texture2D/000_01_01_a #4729.png,Texture2D/000_01_01_a.png,Texture2D/000_01_01_c_eye.png,Texture2D/000_01_01_c_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,357.327221,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_01,000_01,000,梨斗,01,01,d,Texture2D/000_01_01_a #4698.png,Texture2D/000_01_01_a #4729.png,Texture2D/000_01_01_a.png,Texture2D/000_01_01_d_eye.png,Texture2D/000_01_01_d_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,357.327221,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_01,000_01,000,梨斗,01,01,e,Texture2D/000_01_01_a #4698.png,Texture2D/000_01_01_a #4729.png,Texture2D/000_01_01_a.png,Texture2D/000_01_01_e_eye.png,Texture2D/000_01_01_e_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,357.327221,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_01,000_01,000,梨斗,01,01,f,Texture2D/000_01_01_a #4698.png,Texture2D/000_01_01_a #4729.png,Texture2D/000_01_01_a.png,Texture2D/000_01_01_f_eye.png,Texture2D/000_01_01_f_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,357.327221,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_02,000_01,000,梨斗,01,02,a,Texture2D/000_01_02_a.png,Texture2D/000_01_02_a #5288.png,,Texture2D/000_01_02_a_eye.png,Texture2D/000_01_02_a_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,355.171336,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_02,000_01,000,梨斗,01,02,b,Texture2D/000_01_02_a.png,Texture2D/000_01_02_a #5288.png,,Texture2D/000_01_02_b_eye.png,Texture2D/000_01_02_b_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,355.171336,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_02,000_01,000,梨斗,01,02,c,Texture2D/000_01_02_a.png,Texture2D/000_01_02_a #5288.png,,Texture2D/000_01_02_c_eye.png,Texture2D/000_01_02_c_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,355.171336,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
atlas_pair,000_01_02,000_01,000,梨斗,01,02,d,Texture2D/000_01_02_a.png,Texture2D/000_01_02_a #5288.png,,Texture2D/000_01_02_d_eye.png,Texture2D/000_01_02_d_mouth.png,1024,1024,0,0,1024,1024,0,0,1024,1024,394,213,230,131,394,342,230,57,246,-174,246,-278,256,512,256,256,3,default_frame_pixel_alignment,default_frame_pixel_alignment,93.613154,355.171336,○,○,true,resolved,TextAsset/ToLove:Chara_Eye_Pos|Chara_Mouth_Pos,D:\素材\出包女王素材库\Texture2D
